id,text,user_id,timestamp_ms,place_full_name
985557921877590016,Feeling all my fucking feelings,599661094,1523810294013,"Miami, FL"
985557922095640576,"Want to work in #Kettering, OH? View our latest opening: https://t.co/9tY05poWdN #Healthcare #Job #Jobs #Hiring #CareerArc",120647235,1523810294065,"Kettering, OH"
985557922183659520,"Want to work in #Stevensville, MI? View our latest opening: https://t.co/GhoDHJoh1X #CustomerService #Job #Jobs #Hiring #CareerArc",72033272,1523810294086,"Stevensville, MI"
985557922468933632,We're #hiring! Read about our latest #job opening here: Licensed Physical Therapy Assistant -… https://t.co/1tSm045kav,120767907,1523810294154,"Rochester, IN"
985557921160400896,"When people preface anything by saying 

“I’m not a member of the BeyHive but...” 
“I don’t like Beyoncé... but...”… https://t.co/0ntAIZXZfh",227079953,1523810293842,"Florida, USA"
985557922519420928,@razzledazzle314 Nah I’m too kewl for skewl,2420814597,1523810294166,"New York, USA"
985557922716487680,@Harresse only a bogey.,34957804,1523810294213,"Kentucky, USA"
985557922628489216,"A stamp! Right, Tyler? https://t.co/gSn8SvJ2d9",912757370106925058,1523810294192,"Winston-Salem, NC"
985557922783551493,"Join the AT&amp;T team! See our latest #job opening here: https://t.co/bMNvRKeP48 #Database #BedminsterTownship, NJ #Hiring #CareerArc",506402047,1523810294229,"New Jersey, USA"
985557922800222208,"Want to work at CVS Health? We're #hiring in #Freeport, NY! Click for details: https://t.co/32qgW0rO1p #Healthcare #Job #Jobs #CareerArc",567545431,1523810294233,"Freeport, NY"
985557922741501952,"Can you recommend anyone for this #job in #Branchburg, NJ? https://t.co/ibFPKtAd77 #Library #Hiring #CareerArc",506516324,1523810294219,"Branchburg, NJ"
985557922854948864,@_springwolf @albertphish UR A BEAUTIFUL ANGEL I HOPE UR DOING WELL,245518432,1523810294246,"Massachusetts, USA"
985557922800267266,"See our latest #Owensboro, KY #job and click to apply: Kitchen Manager - https://t.co/wYSgaOfhxQ #restaurantlife… https://t.co/b8EygnrsWe",88181607,1523810294233,"Owensboro, KY"
985557923131617280,"If you're looking for work in #ParsippanyTroyHills, NJ, check out this #job: https://t.co/p7Eh6CXneU #Media #Hiring #CareerArc",500201987,1523810294312,"Parsippany, NJ"
985557923664449536,@TynsieNicole oh my goodness🤦🏼‍♀️I cant even imagine it😂,732387262562865152,1523810294439,"Hanover, NH"
985557922825449472,"Interested in a #job in #JerseyCity, NJ? This could be a great fit: https://t.co/iTRYY4VNGM #Healthcare #Hiring #CareerArc",20832085,1523810294239,"Jersey City, NJ"
985557922875891713,Can we also make this the #BeyonceChallenge? https://t.co/l656dunM0z,1967710746,1523810294251,"Pittsfield, MI"
985557923798700033,"@erikschlitt @brianslionsblog I want IOL, RB, and DL in the first three rounds. But something tells me we may end u… https://t.co/7EvBDnbYkv",20888654,1523810294471,"Royal Oak, MI"
985557924259991552,When I’m with you I can’t breathe .. boy you do sum to me 😉😏,40578035,1523810294581,"Unadilla, GA"
985557924331343872,Amen https://t.co/LHBp9r7daU,931591916059324416,1523810294598,"Council Bluffs, IA"
985557924398469121,2 drops @ 12,1562144034,1523810294614,"Texas, USA"
985557924629106688,I’m too smart.,2266315580,1523810294669,"Hammond, LA"
985557924469714944,@mindchangermoe @alincoln82 @abeautifulrainX I wish !!!,23161392,1523810294631,"Smith Mills, MA"
985557924457021441,"Join the Great Clips team! See our latest #job opening here: https://t.co/1W0xVe5mOc #Cosmetology #EveshamTownship, NJ #Hiring #CareerArc",47378616,1523810294628,"Marlton, NJ"
985557924687876096,@johncardillo Good question,63104833,1523810294683,"Virginia Beach, VA"
985557924687708160,We're #hiring! Click to apply: Summer Student - Production Technician - https://t.co/4PYlI6R9DO #Manufacturing… https://t.co/3KwBuvLfsW,24543915,1523810294683,"Ottawa, Ontario"
985557924859723776,"We're #hiring! Click to apply: Inside Sales Representative - https://t.co/lv1vtR0Zjt #Sales #Greenwood, SC #Veterans #Job #Jobs #CareerArc",26760088,1523810294724,"Greenwood, SC"
985557925967093760,SOS International Evening of Hope with the Novio and Roomie. It was amazing to get to see all… https://t.co/S3Qn9f3B7b,547030112,1523810294988,"Fort Worth, TX"
985557926071844864,"nah my dude, fill the cups up with water and have drinks on the side ready https://t.co/k4Wdj048Kf",2726647018,1523810295013,"Flagstaff, AZ"
985557926365597703,"@siasatpk 
Party (legal) may be religious or political, to protect their true activities or mandate is above the law which protects everyone",917179509039869952,1523810295083,"Woodhaven, MI"
985557926222811138,We're #hiring! Read about our latest #job opening here: Communication Systems Technician - https://t.co/Hw43R2DtSU… https://t.co/3P7xtGBkbM,22262660,1523810295049,"Miami, FL"
985557926612881409,"If you're looking for work in #Spartanburg, SC, check out this #job: https://t.co/TP523zWOSr #Pharmaceutical #Hiring #CareerArc",26776673,1523810295142,"Spartanburg, SC"
985557926646550528,Is it June yet???? Take my money Disney https://t.co/lBLNgG1QWq,108520522,1523810295150,"Charlotte, NC"
985557927271567361,#Sunday #OPEN #11am @ Garman's Pub https://t.co/BdENSisl4M,221437597,1523810295299,"Santa Paula, CA"
985557927426584576,Join the Ohio Living Westminster-Thurber team! See our latest #job opening here: https://t.co/bvfjcaG8w5 #security… https://t.co/dnVIg7J7zG,118562908,1523810295336,"Columbus, OH"
985557927443349507,"temperature up 11°C -&gt; 21°C
humidity down 26% -&gt; 12%
wind 3kmh -&gt; 2kmh",107596385,1523810295340,"San Nicolás de los Garza, Nuevo León"
985557927665831936,Only 2 more weeks left for this semester 🙌🏾🙏🏾,68486752,1523810295393,"Atlanta, GA"
985557927837679616,"@k_michaelaa HaHa. I've been doing that tooooo!
Its crazy right?",60106677,1523810295434,"Los Angeles, CA"
985557925652557825,@DeathStarPR @Geir7994 We wish... https://t.co/QjfJmt6UNZ,820795434595745792,1523810294913,"Atlanta, GA"
985557928429178880,Why do mfs be so pressed when they get caught ?😒,2901829106,1523810295575,"Merriam, KS"
985557928361865216,"Can you recommend anyone for this #job in #Waldorf, MD? https://t.co/psK7llMPuo #CustomerService #Hiring #CareerArc",72372106,1523810295559,"St Charles, MD"
985557926172659713,"This is how most people will answer if ask about politics!!!
Do you agree? If so, share the message https://t.co/M2A4FaQpGt",439638930,1523810295037,"The Hammocks, FL"
985557928743600128,"Join the U.S. Bank team! See our latest #job opening here: https://t.co/bTbU8fZoiG #branchbanking #BowlingGreen, KY #Hiring #CareerArc",112597427,1523810295650,"Bowling Green, KY"
985557928823476225,"When bitches stay w they nigga it’s not about them being dumb or dick drunk, when you really love a nigga you just… https://t.co/6sH0nNFHrc",1626377480,1523810295669,"Toledo, OH"
985557929276264448,"@AshlieIniguez Come camp with us, me and my homies will be there",2881476481,1523810295777,"California, USA"
985557930018791425,My phone fell out of my window. I want to cry,546977839,1523810295954,"Atlanta, GA"
985557929951576064,I just wanna see you @KeithTPowers before I leave tomorrow! Make my Dream come true. I wanna meet you so bad! 😩🙏🏽♥️,419977381,1523810295938,"National City, CA"
985557930266255360,@njrice2004 @ToddGunterJr37 @hornetfirearms @Lupuslifesux @_VachelLindsay_ @realDonaldTrump Then why the hell is he… https://t.co/AhTu2lv7MR,236831485,1523810296013,"Manhattan, NY"
985557930198970368,@gripgearglobal Must have been a great show! Your @FiLMiCPro friends stopped by a couple times but there was always… https://t.co/MBoCHNsIOs,1225741885,1523810295997,"Seattle, WA"
985557926688575488,"Quiet, simple moments like these are when I am thankful that God chose me for this life 💕🙌🏼 https://t.co/qkOOHhmvZ2",385034244,1523810295160,"San Antonio, TX"
985557931021164544,"Wow.

Lots of comments from people who watched my speech yesterday via live feed who do not know what Ankylosing Sp… https://t.co/TUrpKTdWOl",809229324813352960,1523810296193,"Sacramento, CA"
985557931230982144,@panthercitybbq I'll take a half pound please!,913860384611815424,1523810296243,"Texas, USA"
985557930882863105,@adrixnt @CaterinaRomeo0 @MondoDiVersi @artdielle @MBerberi @AlessandraCicc6 @fiorenza_tania @LordByronRS… https://t.co/1PYFwR8sqr,2793256575,1523810296160,"Valparaiso, IN"
985558129260859393,Soon 🙏🏼🤞🏼💜 https://t.co/rGI1OU24Yk,40578035,1523810343457,"Unadilla, GA"
985558130007277568,Bey stans are the worst...insufferable.,364945552,1523810343635,"Long Beach, CA"
985558130389078016,"Retrograde is over. I still want to move to LA, see ya soon.",61945997,1523810343726,"Brooklyn, NY"
985558130338787328,There is a higher power that knows what my heart needs because John Mulaney was on SNL last night,2528747814,1523810343714,"Auburn, AL"
985558130225549312,Oppression ain't fucking cool when it's ya moms and dads and grandparents,3024391585,1523810343687,"Allen, TX"
985558130514804737,Kurt Albertine from @UUtah showing us elegant work linking early modes of ventilation with short and long term neur… https://t.co/oEqjgfPltU,49503587,1523810343756,"Paradise Valley, AZ"
985558131152424961,Fabulous full open sew-in cut &amp; styled by @charmelrountree installation by @mekahotashell75 You… https://t.co/SjCFknFAJT,43809945,1523810343908,"Georgia, USA"
985558131211210753,So Greeks have nothing to say about this ? https://t.co/jF0kJ7XZp0,2667367660,1523810343922,"Queens, NY"
985558131660001282,"@KyleKashuv You are the COOLEST, Kyle‼️🇺🇸🚂",589511830,1523810344029,"Connecticut, USA"
985558132884738049,Mimosas got the best of me,997501428,1523810344321,"Iowa City, IA"
985558132897255426,"Yes it is you crook!

Trump: Attorney-client privilege 'a thing of the past'

https://t.co/ZvFS4qzoTp",959845090285023232,1523810344324,"Kansas City, MO"
985558133220302848,michael scott is hands down the greatest character on a tv show ever,2320980064,1523810344401,"Pennsylvania, USA"
985558134486913028,"the worst thing a/an....

entrepreneur
ruler/president
teacher

....can do is to underestimate the intelligence of people",721693182413639680,1523810344703,"Cambridge, MA"
985558134386241538,"Tagging possibly interested parties
@Classichassis @dgray3994 @Pathryn34 @0ntheroadsofar @KaterinaKestem1… https://t.co/B1Wax7msie",2348865674,1523810344679,"Marietta, GA"
985558134658871298,"This is the next best thing, winning the title because Manchester United fail to win against the last place team. P… https://t.co/6bx4gYag0u",1945333122,1523810344744,"Amherst, NY"
985558134843375617,God’s promises are never broken !,3118344830,1523810344788,"Baton Rouge, LA"
985558134788968449,@T_23_baller @BuckeyesCrootin We’re glad to have you 👍🏻,3324317744,1523810344775,"Columbus, OH"
